iter	Logloss
0	0.6899011815
1	0.6874209823
2	0.6850806263
3	0.6780580525
4	0.6710073673
5	0.668737898
6	0.6610941448
7	0.6594196396
8	0.6541913039
9	0.6481801312
10	0.6462748195
11	0.6446069064
12	0.6397862033
13	0.6386310245
14	0.637542022
15	0.6348447216
16	0.6338804912
17	0.6317128983
18	0.6308565666
19	0.630048587
20	0.6248118686
21	0.6241104344
22	0.622750358
23	0.6177263847
24	0.6148365155
25	0.6142969761
26	0.6137881736
27	0.6113732162
28	0.6037307729
29	0.6004592582
30	0.5996818366
31	0.5963256914
32	0.5959989641
33	0.5926139966
34	0.5922133381
35	0.5919378657
36	0.5885660674
37	0.5876022111
38	0.5820481689
39	0.5817580175
40	0.5815719644
41	0.5791552643
42	0.5757236029
43	0.5754252506
44	0.5752826702
45	0.5733784315
46	0.5732534095
47	0.5706256998
48	0.5692858289
49	0.5691865674
50	0.5690932007
51	0.5654970071
52	0.5648786496
53	0.563713876
54	0.5615396847
55	0.5614709806
56	0.5612734729
57	0.5603463143
58	0.5602892117
59	0.5598956527
60	0.55543509
61	0.5553920717
62	0.5526296234
63	0.552593809
64	0.5525586247
65	0.5496391873
66	0.5495863111
67	0.5486768775
68	0.5451227817
69	0.5435084815
70	0.5415892817
71	0.5415723751
72	0.5391685175
73	0.5374180513
74	0.5352716661
75	0.5338066014
76	0.5333132705
77	0.533302313
78	0.5328377361
79	0.5328284224
80	0.5316435329
81	0.53053058
82	0.5297822876
83	0.5297479287
84	0.5297415856
85	0.5283229707
86	0.528318002
87	0.5271605172
88	0.5270599289
89	0.5245537909
90	0.5245506602
91	0.5237688501
92	0.523618565
93	0.5236160183
94	0.5220986422
95	0.5215886066
96	0.5215867149
97	0.520169574
98	0.5201681118
99	0.5199051206
100	0.5199040501
101	0.5197607969
102	0.5197595867
103	0.5190013451
104	0.5181365216
105	0.517560542
106	0.5167212454
107	0.5167205584
108	0.515220127
109	0.5149854201
110	0.514984861
111	0.5134360277
112	0.5134276533
113	0.5134272993
114	0.5134271085
115	0.5118579536
116	0.5118579483
117	0.5118581032
118	0.5118579956
119	0.5118435007
120	0.5116412905
121	0.5116101976
122	0.5113381852
123	0.5113382408
124	0.5113384062
125	0.5113382986
126	0.5092610961
127	0.5077597222
128	0.5067037012
129	0.5067037331
130	0.5066837401
131	0.5054745759
132	0.5054070214
133	0.5051086959
134	0.50510864
135	0.5049951629
136	0.5042936048
137	0.5042937907
138	0.5042937701
139	0.5042936636
140	0.5033102154
141	0.5033099284
142	0.5026525715
143	0.5026148094
144	0.5021531558
145	0.5011370973
146	0.5011367635
147	0.5011371875
148	0.5011370457
149	0.5008277324
150	0.5008105479
151	0.4998119735
152	0.4998120673
153	0.4991924673
154	0.4989314155
155	0.4987838596
156	0.4983842167
157	0.4983839366
158	0.4963279809
159	0.4950582579
160	0.4950582386
161	0.4944790785
162	0.493546255
163	0.493221151
164	0.4932211433
165	0.4932209499
166	0.4917245663
167	0.4908750883
168	0.4908748226
169	0.4908747651
170	0.4908748435
171	0.4896002809
172	0.4893369406
173	0.4893366101
174	0.4893368998
175	0.4886958
176	0.4886955688
177	0.487489642
178	0.4874894474
179	0.4860088902
180	0.4843569324
181	0.4840684688
182	0.4833454365
183	0.4820048641
184	0.4819686345
185	0.4812577425
186	0.481257629
187	0.4810251541
188	0.4801651543
189	0.4791636508
190	0.4788435435
191	0.4782984985
192	0.4770471684
193	0.4763861097
194	0.475753111
195	0.4757528091
196	0.4756512964
197	0.4756511636
198	0.4756511711
199	0.4752940996
200	0.4751162441
201	0.4751161158
202	0.4745327179
203	0.4744670987
204	0.4738653217
205	0.4735119139
206	0.4735117268
207	0.4727801493
208	0.472779955
209	0.4726043724
210	0.4726042365
211	0.4726040481
212	0.4723163617
213	0.4717025119
214	0.471702259
215	0.4717020541
216	0.471101874
217	0.4708495078
218	0.4700127567
219	0.4700125926
220	0.4696831576
221	0.4696366004
222	0.4696361745
223	0.4684442944
224	0.467794823
225	0.4677943857
226	0.4676846292
227	0.4675508752
228	0.4675506856
229	0.4675502235
230	0.4675499392
231	0.4669158571
232	0.4668148988
233	0.4667867844
234	0.4663415257
235	0.46634117
236	0.4658986155
237	0.4656125696
238	0.4654183415
239	0.4641777722
240	0.4641777214
241	0.4637656308
242	0.463765278
243	0.4637652036
244	0.463765087
245	0.4637236216
246	0.4635789717
247	0.4635780816
248	0.4635051692
249	0.4634535201
250	0.4634534326
251	0.4631466319
252	0.4621308381
253	0.4621290353
254	0.4618368461
255	0.4611191013
256	0.460457046
257	0.4602825143
258	0.4602824872
259	0.460173089
260	0.4595789051
261	0.4590352948
262	0.4589147594
263	0.4577131828
264	0.4577133361
265	0.4572947822
266	0.4572946509
267	0.4572948255
268	0.4572946356
269	0.4572947844
270	0.4572536302
271	0.4565505281
272	0.4560065182
273	0.4560063639
274	0.4559917878
275	0.4556201118
276	0.4556200419
277	0.4555343726
278	0.4550944304
279	0.4543752018
280	0.4543751699
281	0.4543015297
282	0.4534805067
283	0.4529342578
284	0.4522310256
285	0.4512827363
286	0.450872524
287	0.4508172338
288	0.4508171777
289	0.4500003623
290	0.4495309978
291	0.44953105
292	0.4493498714
293	0.4486364193
294	0.4484623102
295	0.448096237
296	0.4479958648
297	0.4473070138
298	0.4465859078
299	0.4457491209
