iter	Logloss
0	0.6895402515
1	0.684365869
2	0.6789329664
3	0.6757585969
4	0.6690335259
5	0.6666900657
6	0.6628144139
7	0.6611507202
8	0.6591059815
9	0.6536251449
10	0.6514452927
11	0.646096451
12	0.6435073038
13	0.6397985144
14	0.6371368615
15	0.6356544819
16	0.6301666619
17	0.6271461016
18	0.6263328448
19	0.6255613335
20	0.6238272031
21	0.619888397
22	0.6187829357
23	0.6181897037
24	0.6176300344
25	0.6171023744
26	0.6134222914
27	0.6098137115
28	0.6093821175
29	0.6089749468
30	0.6084601456
31	0.6051461149
32	0.6023345837
33	0.5982811016
34	0.5952233781
35	0.594966779
36	0.5918704904
37	0.5905565865
38	0.5872242709
39	0.5870336046
40	0.5868538367
41	0.5866842024
42	0.5865241946
43	0.5854083057
44	0.5852247917
45	0.5850915569
46	0.5822895765
47	0.5819409987
48	0.5818149529
49	0.5778477716
50	0.5777569944
51	0.5774233887
52	0.5745239478
53	0.574448275
54	0.5737153533
55	0.5734466591
56	0.5733845245
57	0.5733249259
58	0.5732202601
59	0.5731678657
60	0.5731186937
61	0.5730722564
62	0.5723596408
63	0.5723185108
64	0.5691677374
65	0.5691348164
66	0.5691037006
67	0.5690745203
68	0.5662075304
69	0.5661831042
70	0.564631364
71	0.5646104076
72	0.5645008061
73	0.5644162864
74	0.5627650218
75	0.5627494534
76	0.5610747248
77	0.5610221526
78	0.5590108904
79	0.5562781277
80	0.5562691054
81	0.5543238236
82	0.5540576393
83	0.553945558
84	0.5538928397
85	0.5538861521
86	0.553879591
87	0.5518348936
88	0.5489455397
89	0.5489418817
90	0.5485850942
91	0.5469926273
92	0.5466959277
93	0.5465332007
94	0.5465306587
95	0.5456189271
96	0.5456172446
97	0.5454869884
98	0.54548523
99	0.5454836129
100	0.5454819809
101	0.5454808856
102	0.5452974245
103	0.5452962553
104	0.5452950063
105	0.5451226592
106	0.5435612885
107	0.5435603099
108	0.5433709857
109	0.542180766
110	0.5421803258
111	0.5406610052
112	0.5395570478
113	0.5393498676
114	0.5383710922
115	0.536247544
116	0.5354564255
117	0.535253144
118	0.533853965
119	0.531733501
120	0.5317332525
121	0.531140845
122	0.5311406037
123	0.5311406994
124	0.5311406325
125	0.531140558
126	0.5310970029
127	0.5310972111
128	0.531097098
129	0.529794749
130	0.5297886904
131	0.5297885759
132	0.5297885148
133	0.5287530116
134	0.5272616483
135	0.5268825812
136	0.5268823271
137	0.5265733024
138	0.5260584267
139	0.5257390864
140	0.525739025
141	0.5250904283
142	0.5242527922
143	0.5242525868
144	0.5239776106
145	0.5239775207
146	0.5239773872
147	0.5239770902
148	0.5234280556
149	0.5232999128
150	0.5232995614
151	0.5228992816
152	0.5228990992
153	0.5228988081
154	0.5227564452
155	0.5212534155
156	0.5207513337
157	0.5190986587
158	0.5188130306
159	0.5178752891
160	0.5176301692
161	0.5176297823
162	0.5176297749
163	0.5149027442
164	0.5149015186
165	0.5147401889
166	0.5147395185
167	0.5147380533
168	0.5147375648
169	0.5147372999
170	0.5147371579
171	0.514180996
172	0.5141808024
173	0.5131178269
174	0.5131176437
175	0.511939293
176	0.5109962198
177	0.5108218233
178	0.5096576174
179	0.5086266085
180	0.508622209
181	0.5085195257
182	0.5071142086
183	0.5071137678
184	0.5070632344
185	0.5063856178
186	0.5063853369
187	0.5063850128
188	0.5055343311
189	0.5053443162
190	0.5049015461
191	0.5037370114
192	0.5035144276
193	0.501690104
194	0.5009294403
195	0.5009293514
196	0.5001104994
197	0.4991203212
198	0.4982977615
199	0.4982767061
200	0.4972368047
201	0.4972363591
202	0.4967346519
203	0.4967293509
204	0.4964803999
205	0.496087218
206	0.49608668
207	0.4953367817
208	0.4952264986
209	0.4952145738
210	0.495043479
211	0.4950429496
212	0.4950423775
213	0.4946848764
214	0.4946845263
215	0.494217877
216	0.4938674508
217	0.4934294533
218	0.4934291285
219	0.4934285863
220	0.4934281026
221	0.4934280632
222	0.4930511012
223	0.493050795
224	0.4930505017
225	0.4930388079
226	0.4930383643
227	0.4930374765
228	0.4929120027
229	0.4927563316
230	0.4918870765
231	0.4913290196
232	0.4913284159
233	0.4909269715
234	0.4909265424
235	0.4902963298
236	0.4900947886
237	0.4897978109
238	0.4891680209
239	0.4891676113
240	0.4891673697
241	0.488740625
242	0.4871264516
243	0.4859646738
244	0.4859641384
245	0.4859638934
246	0.4853835006
247	0.4848542988
248	0.4848539453
249	0.4844926639
250	0.4833304579
251	0.4829284133
252	0.4825460071
253	0.4819050779
254	0.4805505929
255	0.480059541
256	0.4799610051
257	0.4797380086
258	0.47973767
259	0.4786860735
260	0.4785546819
261	0.4784672615
262	0.4779609056
263	0.4779606022
264	0.4776632107
265	0.476755956
266	0.4767556664
267	0.4766404488
268	0.476391518
269	0.4761980537
270	0.4760869877
271	0.4760866637
272	0.4759508533
273	0.4759507658
274	0.4749856302
275	0.4749853613
276	0.4741200949
277	0.4741199828
278	0.4741194775
279	0.4738531187
280	0.4731661782
281	0.4723208438
282	0.4716883543
283	0.4712170539
284	0.4705539444
285	0.4695249668
286	0.4694253628
287	0.4694249813
288	0.4694247776
289	0.4686631358
290	0.4686625362
291	0.4681115045
292	0.4673740694
293	0.4662631542
294	0.4657229164
295	0.4648203257
296	0.4641661423
297	0.4625302017
298	0.4613478148
299	0.4606736772
