iter	Logloss
0	0.6897152334
1	0.6851516392
2	0.6795810755
3	0.674724026
4	0.6668424745
5	0.6649297078
6	0.6631286732
7	0.6614299719
8	0.6598270803
9	0.6576110176
10	0.6536999578
11	0.6483990213
12	0.6428598597
13	0.6417036748
14	0.6365747866
15	0.6320329749
16	0.6310968814
17	0.6272047292
18	0.6248534935
19	0.6237335205
20	0.6226502571
21	0.6219659888
22	0.6213141179
23	0.6202755804
24	0.6192524122
25	0.6187129366
26	0.6148534581
27	0.6137395112
28	0.6132939657
29	0.6128733538
30	0.6109306778
31	0.6105593253
32	0.6097482322
33	0.6087372268
34	0.6084264119
35	0.6039932914
36	0.6037264838
37	0.6023678987
38	0.6017932615
39	0.6015690237
40	0.5981967207
41	0.5980028899
42	0.597819895
43	0.5976471832
44	0.5974841463
45	0.5970292022
46	0.5937155019
47	0.5935830379
48	0.5927598926
49	0.5916497604
50	0.5906535162
51	0.5863854229
52	0.5862927091
53	0.5830905748
54	0.5826381186
55	0.5800889057
56	0.5777596183
57	0.5776980303
58	0.576012487
59	0.5755145308
60	0.5748846082
61	0.5748385001
62	0.5747951563
63	0.5729846678
64	0.5729479582
65	0.5706788768
66	0.5706469218
67	0.568350474
68	0.5678431193
69	0.5658256973
70	0.5657567563
71	0.5656280518
72	0.5653323298
73	0.5625430121
74	0.5588842198
75	0.5584376791
76	0.5560380687
77	0.5558680659
78	0.5540982122
79	0.5526678666
80	0.5526589656
81	0.5516006359
82	0.5507038503
83	0.5473241391
84	0.5473186106
85	0.5455961366
86	0.5455912714
87	0.5453751053
88	0.5453706271
89	0.5451504251
90	0.5438837245
91	0.5423021178
92	0.5401455423
93	0.5392592057
94	0.5382180698
95	0.5367019211
96	0.5349008311
97	0.534899062
98	0.5324849668
99	0.531797105
100	0.5316286502
101	0.5309113212
102	0.5309103814
103	0.5306781824
104	0.5306769108
105	0.5306761368
106	0.5306753076
107	0.5306745889
108	0.5301910622
109	0.5300956947
110	0.5283410998
111	0.5283407128
112	0.5282842111
113	0.5282838241
114	0.5278023982
115	0.527801956
116	0.5273940598
117	0.5265358635
118	0.5242239911
119	0.5239229064
120	0.5226336493
121	0.5221191075
122	0.5203123231
123	0.5182053939
124	0.5166465649
125	0.5162490624
126	0.5162491729
127	0.515810538
128	0.515810538
129	0.5147842739
130	0.5147842186
131	0.5147008481
132	0.5146426325
133	0.5146425772
134	0.5141267638
135	0.5131780099
136	0.5131780652
137	0.513125544
138	0.5131254334
139	0.5131253229
140	0.5117651898
141	0.5107685587
142	0.509535748
143	0.5095355822
144	0.5090646053
145	0.5080324256
146	0.5077469314
147	0.5070195958
148	0.5070195958
149	0.5070194853
150	0.5059295875
151	0.50522995
152	0.5052297288
153	0.5040545809
154	0.5037590801
155	0.5037094337
156	0.503656028
157	0.502140211
158	0.5019942574
159	0.4998275093
160	0.4992184293
161	0.4992179318
162	0.4980620232
163	0.4980614704
164	0.4977937228
165	0.4973216402
166	0.4973047229
167	0.4973043912
168	0.4973039489
169	0.4971887893
170	0.4971880705
171	0.4970985081
172	0.496261265
173	0.495797254
174	0.4951121012
175	0.4942817135
176	0.4936156895
177	0.492860877
178	0.4928604347
179	0.4917265298
180	0.4908495917
181	0.4907226563
182	0.4907216611
183	0.490721053
184	0.4907205554
185	0.4907200025
186	0.4897626241
187	0.4897619607
188	0.4897612973
189	0.4896927986
190	0.4888223289
191	0.4886909153
192	0.4885331306
193	0.4875907898
194	0.487252498
195	0.4871784155
196	0.4871776415
197	0.4865739795
198	0.4865263787
199	0.4865258811
200	0.4865253835
201	0.4861467887
202	0.4859837518
203	0.4859200077
204	0.4859195101
205	0.4857594034
206	0.4857552017
207	0.4856707808
208	0.4854955259
209	0.4851604959
210	0.4847552534
211	0.4847549217
212	0.4847502778
213	0.4847500566
214	0.4841388205
215	0.4841385441
216	0.4841384888
217	0.4841381018
218	0.4834554368
219	0.4830681621
220	0.4830678304
221	0.4828071594
222	0.482266744
223	0.4816012728
224	0.4813904693
225	0.4810956319
226	0.4810953002
227	0.4810669388
228	0.481066607
229	0.4810661648
230	0.479785698
231	0.4794043942
232	0.4794042283
233	0.4785375733
234	0.4783789593
235	0.4775029058
236	0.4770011349
237	0.476917101
238	0.4766022503
239	0.476602195
240	0.4744720459
241	0.4744716036
242	0.474471493
243	0.4736606211
244	0.4731864376
245	0.4729501475
246	0.4729498711
247	0.4726068248
248	0.4725672404
249	0.4724787836
250	0.4724784519
251	0.4724782861
252	0.472026438
253	0.4720110686
254	0.471991387
255	0.4718272997
256	0.4718272444
257	0.4718268574
258	0.4718268021
259	0.4718265257
260	0.471728781
261	0.4714267012
262	0.4712897591
263	0.471115831
264	0.4704064079
265	0.4700192438
266	0.4693710769
267	0.4693707452
268	0.4693291153
269	0.46864833
270	0.4685663417
271	0.4685378697
272	0.4685377591
273	0.4684899372
274	0.4680342743
275	0.4676007257
276	0.4675709821
277	0.4675079014
278	0.46720455
279	0.46691502
280	0.4654981088
281	0.465078658
282	0.4650783815
283	0.4646933735
284	0.46429471
285	0.4642945442
286	0.4637243851
287	0.4637240258
288	0.4632903113
289	0.4622682765
290	0.4619303441
291	0.461303628
292	0.4608559539
293	0.4608556222
294	0.4607265859
295	0.4597815085
296	0.4585083395
297	0.4585083118
298	0.4583252064
299	0.4583065199
