iter	Logloss
0	0.6900194148
1	0.6857516217
2	0.6834247438
3	0.6812257182
4	0.6776102167
5	0.6756590803
6	0.6678774438
7	0.666169492
8	0.6640045648
9	0.6620365415
10	0.6606071747
11	0.6592590389
12	0.6579877589
13	0.6567889282
14	0.6556578183
15	0.6513798912
16	0.6503783945
17	0.6494344786
18	0.6480662568
19	0.6472275665
20	0.6464366941
21	0.6423983846
22	0.6417034515
23	0.6410475776
24	0.6370694165
25	0.6364951866
26	0.6353878282
27	0.633242
28	0.6327633434
29	0.6288870119
30	0.6278558912
31	0.6244670848
32	0.6241072159
33	0.6237676584
34	0.6234472203
35	0.6220297976
36	0.621746725
37	0.6206064237
38	0.6203557957
39	0.6190671355
40	0.6183192208
41	0.6128062656
42	0.6126117504
43	0.6086673096
44	0.6085012806
45	0.6062288572
46	0.6059074697
47	0.6047917973
48	0.6042764082
49	0.603824432
50	0.6027392015
51	0.5984630117
52	0.5943880459
53	0.5942464529
54	0.592530323
55	0.5924548879
56	0.592383935
57	0.5920031325
58	0.589203472
59	0.5879635117
60	0.5876263394
61	0.5875767836
62	0.5837606387
63	0.5837167969
64	0.5836754912
65	0.5836364165
66	0.5830351524
67	0.5814192067
68	0.5813876339
69	0.5813511364
70	0.5813230265
71	0.581296174
72	0.5812712605
73	0.5812473292
74	0.5758208475
75	0.575801404
76	0.5724542043
77	0.5715777891
78	0.5703706805
79	0.5691519065
80	0.5660366201
81	0.565725078
82	0.5656896168
83	0.5656781603
84	0.562759461
85	0.5591673263
86	0.5591595875
87	0.5591528148
88	0.5587158559
89	0.5582965114
90	0.558202089
91	0.55819647
92	0.5578519784
93	0.5567402528
94	0.5540194119
95	0.550614489
96	0.5506112259
97	0.5506085539
98	0.5485767865
99	0.5485747736
100	0.5482398406
101	0.5482381861
102	0.548236407
103	0.5482346687
104	0.5482333479
105	0.546009249
106	0.5453228995
107	0.5436368474
108	0.5407436714
109	0.5405661902
110	0.5405657976
111	0.5389063966
112	0.5389063578
113	0.5385328914
114	0.5385325536
115	0.5385322785
116	0.5368065335
117	0.5364304361
118	0.5356330663
119	0.5334681947
120	0.5334682381
121	0.5326387889
122	0.5326386112
123	0.5325186
124	0.5320540623
125	0.5307035332
126	0.5307034083
127	0.530449917
128	0.5302161037
129	0.5288269277
130	0.5288269124
131	0.5285462634
132	0.5285461528
133	0.5285461766
134	0.5277949816
135	0.5271266833
136	0.5267672049
137	0.5267671737
138	0.52562444
139	0.5230489402
140	0.5205240451
141	0.5205037792
142	0.5200087026
143	0.5199615765
144	0.5199613029
145	0.5195611293
146	0.5195609216
147	0.5183753904
148	0.5160807369
149	0.5156448514
150	0.5156440899
151	0.5145621444
152	0.5135419997
153	0.5135414201
154	0.5135409442
155	0.5135369823
156	0.513401335
157	0.5132810257
158	0.5128353233
159	0.512834877
160	0.5115063095
161	0.5115052677
162	0.5111667065
163	0.5108343461
164	0.5107254535
165	0.5107251233
166	0.5106040143
167	0.5106037083
168	0.5103641892
169	0.5102154491
170	0.509099398
171	0.5084354374
172	0.5082339326
173	0.506414395
174	0.5049081603
175	0.504598739
176	0.5040690462
177	0.5040685665
178	0.5040300609
179	0.5040297066
180	0.5032731239
181	0.5031202162
182	0.501031372
183	0.499205117
184	0.4982588431
185	0.4967554458
186	0.4960096418
187	0.4960090022
188	0.4959350914
189	0.4956512887
190	0.4956508244
191	0.4954016584
192	0.4952749252
193	0.4952745329
194	0.4950200971
195	0.4949707239
196	0.4949705228
197	0.4949702145
198	0.4949698174
199	0.4928467554
200	0.4928463265
201	0.4925199602
202	0.4923172577
203	0.4923169437
204	0.4922816424
205	0.4917338207
206	0.4914658425
207	0.490815377
208	0.490815303
209	0.4896361895
210	0.4896360876
211	0.4896358783
212	0.4896356355
213	0.4896353856
214	0.4896351829
215	0.4896353431
216	0.4894511289
217	0.4890744116
218	0.488196313
219	0.4876488951
220	0.4863773922
221	0.485580663
222	0.4855804337
223	0.4843779547
224	0.4836680864
225	0.4828494321
226	0.4828489422
227	0.4817039583
228	0.4817038188
229	0.4805760639
230	0.4802219306
231	0.4786351507
232	0.4786346284
233	0.4774471317
234	0.4773542649
235	0.4773537589
236	0.477353542
237	0.4773532728
238	0.4755669637
239	0.4755663491
240	0.475438149
241	0.4754376697
242	0.4750487436
243	0.4738052901
244	0.4738045543
245	0.4738040229
246	0.472540854
247	0.4714139178
248	0.4714135123
249	0.47061528
250	0.4700300679
251	0.4695876393
252	0.4695673493
253	0.4687593562
254	0.4681230214
255	0.4681225156
256	0.4670135407
257	0.4667065302
258	0.4665658546
259	0.466565169
260	0.466564608
261	0.4662987669
262	0.4662979877
263	0.46615496
264	0.4651855166
265	0.4639811531
266	0.4639806518
267	0.4639800178
268	0.4638228238
269	0.4633779579
270	0.46246286
271	0.4617200398
272	0.4615715643
273	0.461571128
274	0.4615707875
275	0.4615702687
276	0.4613906289
277	0.4606961882
278	0.4603474403
279	0.459109146
280	0.4591089257
281	0.4591084332
282	0.4588646148
283	0.4582263884
284	0.457032084
285	0.4563755228
286	0.4552923974
287	0.4552920401
288	0.4549225623
289	0.4543555824
290	0.4538441965
291	0.4531652996
292	0.4523213222
293	0.4511065692
294	0.45025254
295	0.4495515235
296	0.4492875458
297	0.4491405331
298	0.4484915598
299	0.4478807511
